Country,Species,Value
Japan,Mosses,137
Japan,Lichens,2
Japan,Invertebrates,20
Korea,Mammals,2
Korea,Birds,7
Korea,Reptiles,0
Korea,Amphibians,0
Korea,Fish,4
Korea,Marine Fish,
Korea,Freshwater Fish,4
Korea,Vascular plants,28
Korea,Mosses,
Korea,Lichens,
Korea,Invertebrates,18
Latvia,Mammals,0
Latvia,Birds,4
Latvia,Reptiles,1
Latvia,Amphibians,1
Latvia,Fish,1
Latvia,Marine Fish,1
Latvia,Freshwater Fish,
Latvia,Vascular plants,16
Latvia,Mosses,3
Latvia,Lichens,2
Latvia,Invertebrates,7
Lithuania,Mammals,
Lithuania,Birds,19
Lithuania,Reptiles,
Lithuania,Amphibians,
Lithuania,Fish,3
Lithuania,Marine Fish,1
Lithuania,Freshwater Fish,2
Lithuania,Vascular plants,23
Lithuania,Mosses,9
Lithuania,Lichens,24
Lithuania,Invertebrates,13
Luxembourg,Mammals,
Luxembourg,Birds,7
Luxembourg,Reptiles,0
Luxembourg,Amphibians,2
Luxembourg,Fish,3
Luxembourg,Marine Fish,
Luxembourg,Freshwater Fish,3
Luxembourg,Vascular plants,121
Luxembourg,Mosses,
Luxembourg,Lichens,
Luxembourg,Invertebrates,7
Mexico,Mammals,9
Mexico,Birds,18
Mexico,Reptiles,0
Mexico,Amphibians,0
Mexico,Fish,14
Mexico,Marine Fish,0
Mexico,Freshwater Fish,13
Mexico,Vascular plants,6
Mexico,Mosses,0
Mexico,Lichens,
Mexico,Invertebrates,1
Netherlands,Mammals,2
Netherlands,Birds,11
Netherlands,Reptiles,1
Netherlands,Amphibians,1
Netherlands,Fish,4
Netherlands,Marine Fish,3
Netherlands,Freshwater Fish,1
Netherlands,Vascular plants,71
Netherlands,Mosses,52
Netherlands,Lichens,49
Netherlands,Invertebrates,50
New Zealand,Mammals,
New Zealand,Birds,
New Zealand,Reptiles,
New Zealand,Amphibians,
New Zealand,Fish,
New Zealand,Marine Fish,
New Zealand,Freshwater Fish,
New Zealand,Vascular plants,
New Zealand,Mosses,14
New Zealand,Lichens,6
New Zealand,Invertebrates,133
Norway,Mammals,3
Norway,Birds,11
Norway,Reptiles,
Norway,Amphibians,1
Norway,Fish,2
Norway,Marine Fish,2
Norway,Freshwater Fish,
Norway,Vascular plants,44
Norway,Mosses,44
Norway,Lichens,49
Norway,Invertebrates,103
Poland,Mammals,2
Poland,Birds,16
Poland,Reptiles,1
Poland,Amphibians,
Poland,Fish,6
Poland,Marine Fish,1
Poland,Freshwater Fish,1
Poland,Vascular plants,124
Poland,Mosses,
Poland,Lichens,179
Poland,Invertebrates,152
Portugal,Mammals,11
Portugal,Birds,20
Portugal,Reptiles,
Portugal,Amphibians,
Portugal,Fish,8
Portugal,Marine Fish,
Portugal,Freshwater Fish,
Portugal,Vascular plants,
Portugal,Mosses,
Portugal,Lichens,
Portugal,Invertebrates,
Slovak Republic,Mammals,2
Slovak Republic,Birds,10
Slovak Republic,Reptiles,1
Slovak Republic,Amphibians,
Slovak Republic,Fish,
Slovak Republic,Marine Fish,
Slovak Republic,Freshwater Fish,
Slovak Republic,Vascular plants,155
Slovak Republic,Mosses,47
Slovak Republic,Lichens,140
Slovak Republic,Invertebrates,199
Slovenia,Mammals,
Slovenia,Birds,17
Slovenia,Reptiles,
Slovenia,Amphibians,
Slovenia,Fish,
Slovenia,Marine Fish,
Slovenia,Freshwater Fish,
Slovenia,Vascular plants,
Slovenia,Mosses,
Slovenia,Lichens,
Slovenia,Invertebrates,
Spain,Mammals,2
Spain,Birds,10
Spain,Reptiles,4
Spain,Amphibians,1
Spain,Fish,9
Spain,Marine Fish,0
Spain,Freshwater Fish,9
Spain,Vascular plants,272
Spain,Mosses,13
Spain,Lichens,
Spain,Invertebrates,20
Sweden,Mammals,1
Sweden,Birds,6
Sweden,Reptiles,
Sweden,Amphibians,
Sweden,Fish,6
Sweden,Marine Fish,6
Sweden,Freshwater Fish,1
Sweden,Vascular plants,39
Sweden,Mosses,11
Sweden,Lichens,52
Sweden,Invertebrates,87
Switzerland,Mammals,5
Switzerland,Birds,9
Switzerland,Reptiles,2
Switzerland,Amphibians,0
Switzerland,Fish,15
Switzerland,Marine Fish,
Switzerland,Freshwater Fish,15
Switzerland,Vascular plants,111
Switzerland,Mosses,121
Switzerland,Lichens,45
Switzerland,Invertebrates,230
Türkiye,Mammals,3
Türkiye,Birds,7
Türkiye,Reptiles,8
Türkiye,Amphibians,1
Türkiye,Fish,27
Türkiye,Marine Fish,
Türkiye,Freshwater Fish,27
Türkiye,Vascular plants,65
Türkiye,Mosses,
Türkiye,Lichens,
Türkiye,Invertebrates,
United Kingdom,Mammals,2
United Kingdom,Birds,18
United Kingdom,Reptiles,
United Kingdom,Amphibians,1
United Kingdom,Fish,
United Kingdom,Marine Fish,
United Kingdom,Freshwater Fish,2
United Kingdom,Vascular plants,51
United Kingdom,Mosses,26
United Kingdom,Lichens,45
United Kingdom,Invertebrates,102
Brazil,Mammals,12
Brazil,Birds,42
Brazil,Reptiles,10
Brazil,Amphibians,18
Brazil,Fish,135
Brazil,Marine Fish,34
Brazil,Freshwater Fish,101
Brazil,Vascular plants,
Brazil,Mosses,
Brazil,Lichens,
Brazil,Invertebrates,101
